r (angstrom)  ,  normalised by natoms
     11.35 ,      0.01816229
     11.40 ,      0.01345722
     11.45 ,      0.00974303
     11.50 ,      0.00688976
     11.55 ,      0.00475710
     11.60 ,      0.00320625
     11.65 ,      0.00210903
     11.70 ,      0.00135374
     11.75 ,      0.00084781
     11.80 ,      0.00051801
     11.85 ,      0.00030876
     11.90 ,      0.00017952
     11.95 ,      0.00010182
     12.00 ,      0.00005633
